genename	species	cancername	sample	method
CTNNBIP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DDX24	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CAMK1D	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RTN4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PSMD11	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PSMD13	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
BACH1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ERGIC1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PTBP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ARID1B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PCDH19	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TBC1D14	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NCEH1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ARHGAP21	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
POGK	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF317	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PTPN1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PRX	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PTPN9	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PTPN11	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PTPRJ	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PTPRS	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ABCD3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RAP1B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RAP2B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RASA1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RBBP6	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PRDM13	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CCND1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
BCL2L2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
AFAP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RIC8A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPL4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPL27	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPL39	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPLP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPS10	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPS20	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPS25	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
S100A4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
S100A10	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
S100A11	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SARS	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SBF1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RNF123	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SDHA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DMRTA1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SEC14L1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GOLPH3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IRF2BPL	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
INF2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CERK	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RBM15	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ELOVL1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MRPS24	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SKI	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MRPL32	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RAPH1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
BOLA2B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SLC8A1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CHID1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SNRPD2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SOD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SOD2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SON	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SOS2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SSFA2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SSR4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ST5	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
STX4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SULT1A3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TBL1X	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TCEB3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TBX3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TCP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TFAP2C	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TFRC	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TGM2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
THRB	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TIMP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TIMP3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TK1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TKT	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TLN1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TMSB4X	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TNFAIP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRAF3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRAF6	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRIO	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TTC3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
EIF3CL	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TXNRD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
UBE2B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
WHSC1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FMNL1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
YWHAG	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF37A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PCGF2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRIM25	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF155	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RNF113A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZFAND5	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF217	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CSDE1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FZD5	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
USP7	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PCYOX1L	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
METRN	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MAPKAP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
EFHD2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TMEM43	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
C22orf46	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MAP7D3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZDHHC14	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
VPS37B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SUV39H2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF768	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MAFK	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ALG13	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SLC35E1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
VCPIP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CXXC4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SLC25A32	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GAN	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TAF15	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ITFG1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FBXO38	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ARPC5L	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CAMLG	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CAPG	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRRAP	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HIST1H2AI	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CAPZB	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HIST1H2BF	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HIST1H3D	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HIST1H3C	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
AMMECR1L	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DYNLRB1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KCTD10	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TSSK6	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RHBDD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
BTBD10	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
AKT1S1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CUL3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
UNC119B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PCGF1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LMNB2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DISP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PKP4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HIST1H2AH	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FHDC1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CAV1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CAV2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IRS2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
EIF3A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
EIF3D	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
EIF3G	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
VAMP8	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
STX16	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PABPC4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TNFRSF10D	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DPM2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SQSTM1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CPNE1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CCNB1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FUBP3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HPS4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RHOT2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MIDN	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
COX19	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SLC33A1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PNMA1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ITGB1BP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MARS2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
B4GALT5	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MMGT1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MAPK1IP1L	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CIAO1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NMT2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
H2AFV	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CHST2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
H2AFY	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PREPL	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ENTPD4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IER2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRAF4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CELSR1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ATG13	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KIAA0232	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TSC22D2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
